From St,Install Yr,Street,To St,Update Yr,Miles
14TH AV,1974,Cabrillo St,15TH AV,0,"0,123863636"
14TH AV,1974,Lake St,15TH AV,0,"0,123484848"
14TH AV,1974,Ulloa St,15TH AV,0,"0,123106061"
14TH AV,2006,Vicente St,15TH AV,2016,"0,122727273"
14TH AV,2010,Kirkham St,15TH AV,0,"0,113636364"
14TH AVE,2020,VIcente St,FOREST SIDE AVE,,"0,047537879"
14TH AVE,2020,Vicente St,FOREST SIDE AVE,,"0,047537879"
14TH AVE,2021,Anza Street,PARK PRESIDIO BLVD,,"0,058712121"
14TH ST,1974,Harrison St,ALAMEDA ST,0,"0,089772727"
14TH ST,1974,Market St,CHURCH ST,0,"0,045075758"
14TH ST,2010,Sanchez St,HENRY ST,0,"0,110606061"
14TH ST,2012,Folsom St,15TH ST,0,"0,221212121"
15TH AV,1974,Cabrillo St,16TH AV,0,"0,123106061"
15TH AV,1974,Lake St,16TH AV,0,"0,123106061"
15TH AV,2006,Vicente St,16TH AV,2016,"0,123484848"
15TH AV,2010,Kirkham St,16TH AV,0,"0,132196970"
15TH AVE,2021,Anza Street,14TH AVE,,"0,123484848"
15TH ST,0,Market St,SANCHEZ ST,2016,"0,029924242"
15TH ST,1974,Harrison St,16TH ST,0,"0,047727273"
15TH ST,1974,Harrison St,TREAT AV,2016,"0,176893939"
15TH ST,1974,Valencia St,SPARROW ST,2018,"0,113257576"
15TH ST,2010,Kansas St,16TH ST,0,"0,179545455"
15TH ST,2010,Sanchez St,MARKET ST,0,"0,017803030"
15TH ST,2011,Potrero Ave,16TH ST,0,"0,089962121"
15TH ST,2011,Potrero Ave,16TH ST,2017,"0,089962121"
15TH ST,2012,Folsom St,16TH ST,0,"0,224242424"
15TH ST,2017,Bryant St,16TH ST,,"0,179545455"
16TH AV,1974,Cabrillo St,17TH AV,0,"0,116666667"
16TH AV,1974,Lake St,17TH AV,0,"0,117424242"
16TH AV,2006,Vicente St,17TH AV,2016,"0,117424242"
16TH AV,2010,Kirkham St,17TH AV,0,"0,117424242"
16TH AVE,2021,Anza Street,15TH AVE,,"0,123106061"
16TH ST,0,Sanchez St,17TH ST,0,"0,224242424"
16TH ST,1974,Valencia St,17TH ST,2018,"0,223863636"
16TH ST,2010,Hoff St,17TH ST,0,"0,224242424"
16TH ST,2011,Illinois St,TERRY A FRANCOIS,0,"0,356818182"
16TH ST,2011,Kansas St,17TH ST,0,"0,178787879"
16TH ST,2011,Potrero Ave,17TH ST,0,"0,179166667"
16TH ST,2012,Folsom St,ENTERPRISE ST,0,"0,084469697"
16TH ST,2016,4th St,UNNAMED ST,,"0,059469697"
16TH ST,2017,Bryant St,17TH ST,,"0,179166667"
17TH AV,1974,Lake St,18TH AV,0,"0,117045455"
17TH AV,1984,Cabrillo St,18TH AV,0,"0,118181818"
17TH AV,2006,Vicente St,18TH AV,0,"0,058901515"
17TH AV,2006,Vicente St,18TH AV,2017,"0,058901515"
17TH AV,2010,Kirkham St,18TH AV,0,"0,117424242"
17TH AVE,2021,Anza Street,16TH AVE,,"0,117424242"
17TH ST,0,Douglass St,MARKET ST,0,"0,110984848"
17TH ST,1984,Harrison St,MARIPOSA ST,2016,"0,168181818"
17TH ST,1984,Potrero Ave,MARIPOSA ST,0,"0,179924242"
17TH ST,1984,Valencia St,CLARION AL,0,"0,053030303"
17TH ST,2009,Mississippi St,MARIPOSA ST,0,"0,177651515"
17TH ST,2010,Clayton St,TWIN PEAKS BLVD,0,"0,115909091"
17TH ST,2010,Eureka St,MARKET ST,0,"0,040530303"
17TH ST,2012,Folsom St,18TH ST,0,"0,221212121"
18TH AV,1986,Cabrillo St,19TH AV,0,"0,117424242"
18TH AV,1986,Lake St,19TH AV,0,"0,117424242"
18TH AV,2006,Vicente St,19TH AV,,"0,057386364"
18TH AV,2006,Vicente St,19TH AV,2017,"0,057386364"
18TH AV,2010,Kirkham St,19TH AV,0,"0,111742424"
18TH AVE,2021,Anza Street,17TH AVE,,"0,117803030"
18TH ST,1986,Harrison St,18TH ST,2016,"0,087121212"
18TH ST,1986,Harrison St,19TH ST,2016,"0,134090909"
18TH ST,1986,Potrero Ave,19TH ST,0,"0,176136364"
18TH ST,1986,Valencia St,19TH ST,2018,"0,221212121"
18TH ST,2010,Eureka St,19TH ST,0,"0,221212121"
18TH ST,2011,Illinois St,19TH ST,2021,"0,176893939"
18TH ST,2012,Folsom St,19TH ST,0,"0,221590909"
19TH AV,0,Saint Charles Ave,END:SOUTH,0,"0,148106061"
19TH AV,1986,Lake St,20TH AV,0,"0,117424242"
19TH AV,1995,Cabrillo St,20TH AV,0,"0,117424242"
19TH AV,2006,Ocean Ave,20TH AV,2016,"0,126515152"
19TH AV,2006,Vicente St,20TH AV,0,"0,118181818"
19TH AV,2010,Beverly St,SHIELDS ST,0,"0,242045455"
19TH AV,2010,Kirkham St,20TH AV,0,"0,123106061"
19TH AV,2010,Winston Dr,2OTH AV,,"0,128977273"
19TH AV,2011,Holloway Ave,VARELA AV,0,"0,102272727"
19TH AV,2011,Sloat Blvd,20TH AV,0,"0,057954545"
19TH AVE,2021,Anza Street,18TH AVE,,"0,117045455"
19TH ST,1995,Harrison St,19TH ST,2016,"0,042424242"
19TH ST,1995,Harrison St,MISTRAL ST,2016,"0,036363636"
19TH ST,1995,Valencia St,CUNNINGHAM PL,0,"0,100757576"
19TH ST,1996,Potrero Ave,20TH ST,0,"0,179166667"
19TH ST,2010,Corbett Ave,CLAYTON ST,0,"0,112121212"
19TH ST,2010,Eureka St,20TH ST,,"0,221590909"
19TH ST,2010,Eureka St,20TH ST,0,"0,004545455"
19TH ST,2010,Indiana St,20TH ST,0,"0,170454545"
19TH ST,2011,Illinois St,20TH ST,0,"0,176515152"
19TH ST,2013,Folsom St,20TH ST,2014,"0,221590909"
20TH AV,1996,Cabrillo St,21ST AV,0,"0,117045455"
20TH AV,1996,Lake St,21ST AV,0,"0,117803030"
20TH AV,2006,Ocean Ave,21ST AV,2016,"0,099621212"
20TH AV,2006,Vicente St,21ST AV,2017,"0,119318182"
20TH AV,2010,Kirkham St,21ST AV,0,"0,117045455"
20TH AV,2010,Winston Dr,BUCKINGHAM WY,,"0,414015152"
20TH AV,2011,Sloat Blvd,21ST AV,0,"0,050378788"
20TH AVE,2009,Wawona St,21ST AVE,0,"0,118181818"
20TH AVE,2010,Buckingham Way,19TH AVE,0,"0,086742424"
20TH AVE,2010,Buckingham Way,SFSU PATH,0,"0,169696970"
20TH AVE,2014,Ortega St,21ST AVE,0,"0,117424242"
20TH AVE,2021,Anza Street,19TH AVE,,"0,117803030"
20TH ST,1996,Harrison St,21ST ST,2016,"0,221212121"
20TH ST,1996,Potrero Ave,21ST ST,0,"0,221590909"
20TH ST,1996,Valencia St,LIBERTY ST,0,"0,110227273"
20TH ST,2010,Eureka St,21ST ST,0,"0,221212121"
20TH ST,2010,Indiana St,22ND ST,0,"0,358712121"
20TH ST,2011,Illinois St,22ND ST,0,"0,353030303"
20TH ST,2013,Folsom St,21ST ST,2014,"0,221212121"
21ST AV,1996,Cabrillo St,22ND AV,0,"0,117803030"
21ST AV,1996,Lake St,22ND AV,0,"0,117045455"
21ST AV,2006,Vicente St,22ND AV,2017,"0,117424242"
21ST AV,2010,Kirkham St,22ND AV,0,"0,117424242"
21ST AV,2011,Sloat Blvd,22ND AV,0,"0,049242424"
21ST AVE,2014,Ortega St,22ND AVE,0,"0,117424242"
21ST AVE,2021,Anza Street,20TH AVE,,"0,117424242"
21ST ST,1996,Harrison St,22ND ST,2016,"0,220833333"
21ST ST,1996,Potrero Ave,22ND ST,0,"0,128409091"
21ST ST,1996,Valencia St,HILL ST,0,"0,110606061"
21ST ST,2010,Eureka St,21ST ST,0,"0,048863636"
21ST ST,2010,Eureka St,22ND ST,0,"0,172348485"
21ST ST,2012,Grand View Ave,MORGAN ALLEY,0,"0,114772727"
21ST ST,2013,Folsom St,22ND ST,2014,"0,221212121"
22ND AV,1996,Cabrillo St,23RD AV,0,"0,117424242"
22ND AV,1996,Lake St,23RD AV,0,"0,117803030"
22ND AV,2006,Vicente St,23RD AV,0,"0,058901515"
22ND AV,2006,Vicente St,23RD AV,2017,"0,058901515"
22ND AV,2009,Fulton St,23RD AV,0,"0,117424242"
22ND AV,2010,Kirkham St,23RD AV,0,"0,117424242"
22ND AV,2011,Sloat Blvd,23RD AV,2012,"0,08125"
22ND AVE,2014,Ortega St,23RD AVE,0,"0,117424242"
22ND AVE,2016,Ocean Ave,21ST AVE,,"0,098863636"
22ND AVE,2021,Anza Street,21ST AVE,,"0,117424242"
22ND ST,1996,Potrero Ave,22ND ST,0,"0,092045455"
22ND ST,1996,Potrero Ave,23RD ST,0,"0,221590909"
22ND ST,1996,Valencia St,23RD ST,0,"0,220075758"
22ND ST,1998,Harrison St,23RD ST,0,"0,221590909"
22ND ST,2010,Chattanooga St,23RD ST,0,"0,221590909"
22ND ST,2010,Eureka St,23RD ST,0,"0,221212121"
22ND ST,2010,Indiana St,TUBBS ST,0,"0,211742424"
22ND ST,2011,Illinois St,HUMBOLDT ST,0,"0,168939394"
22ND ST,2013,Folsom St,23RD ST,2014,"0,221590909"
23RD AV,1996,Cabrillo St,24TH AV,0,"0,117424242"
23RD AV,1996,Lake St,24TH AV,0,"0,117803030"
23RD AV,2006,Vicente St,24TH AV,0,"0,058522727"
23RD AV,2006,Vicente St,24TH AV,2017,"0,058522727"
23RD AV,2010,Kirkham St,24TH AV,0,"0,117803030"
23RD AV,2011,Sloat Blvd,24TH AV,2012,"0,086742424"
23RD AVE,2014,Ortega St,24TH AVE,0,"0,117803030"
23RD AVE,2016,Ocean Ave,MELBA AVE,,"0,096590909"
23RD AVE,2021,Anza Street,22ND AVE,,"0,117424242"
23RD ST,0,Harrison St,24TH ST,0,"0,221590909"
23RD ST,0,Minnesota St,24TH ST,0,"0,175757576"
23RD ST,1996,Potrero Ave,23RD ST,,"0,044128788"
23RD ST,1996,Potrero Ave,24TH ST,0,"0,176136364"
23RD ST,1996,Valencia St,24TH ST,0,"0,221212121"
23RD ST,2010,Chattanooga St,24TH ST,0,"0,219696970"
